time,phoneme,vocalic,consonantal,back,anterior,open,close,nasal,stop,target_vowels,target_plosives,non_target_plosives,continuant,lateral,flap,trill,voice,strident,labial,dental,velar,pause
0.0,<p:>,0.03837997,0.17105228,0.03804139,0.029361749,0.044606637,0.019411806,0.023485236,0.3807672,0.015863337,0.50997955,0.020759758,0.045336954,0.119020954,0.16648334,0.00075492135,0.024145715,0.05699256,0.21663257,0.09707733,0.565109,0.96162957
0.01,<p:>,0.031930692,0.2538107,0.042846754,0.03671904,0.047313508,0.030013377,0.039170474,0.4437698,0.01071203,0.549394,0.03296858,0.03638974,0.23182125,0.2774082,0.0025900195,0.027799942,0.036361985,0.31509563,0.11761048,0.6277099,0.95360225
0.02,<p:>,0.024921315,0.2524008,0.036305096,0.030378934,0.038995076,0.028325398,0.035952386,0.42149273,0.009267847,0.5299747,0.03597477,0.032049056,0.29375547,0.27594504,0.0029935078,0.02694554,0.030413836,0.2957661,0.11028269,0.6280005,0.9601958
0.03,<p:>,0.021570774,0.23604923,0.031929202,0.02549391,0.033056192,0.025273722,0.031646255,0.39767367,0.008712897,0.51594424,0.03495584,0.029905707,0.31055412,0.23970991,0.0026231497,0.02449764,0.02747356,0.28695628,0.10135719,0.6140136,0.9658085
0.04,<p:>,0.01868066,0.2207539,0.027740192,0.021528687,0.027375564,0.023254765,0.027651474,0.37858364,0.008111793,0.50678927,0.034273133,0.029068215,0.30451876,0.20475756,0.0022322438,0.02168053,0.025072394,0.28015566,0.09773396,0.59864825,0.9693985
0.05,<p:>,0.01635616,0.20608476,0.02426153,0.018474681,0.0228217,0.022222823,0.02493978,0.3596471,0.007648816,0.49741396,0.03428673,0.029040098,0.2894451,0.17653711,0.0019702981,0.019222744,0.02344228,0.27381185,0.094942264,0.5825229,0.9721726
0.06,<p:>,0.014470391,0.19191866,0.021283375,0.016148752,0.018940631,0.021743895,0.022514155,0.34017035,0.0071087223,0.48762524,0.03443813,0.028915893,0.26929754,0.14998393,0.0017524634,0.016865524,0.022192353,0.2653535,0.092186905,0.567692,0.9747811
0.07,<p:>,0.012875888,0.17895073,0.01872174,0.0142552005,0.015830526,0.021240251,0.020379184,0.32127216,0.0066674654,0.47695374,0.034399584,0.028819304,0.24941346,0.1276647,0.0015874942,0.014953222,0.021156846,0.2567352,0.08971581,0.55235744,0.97703284
0.08,<p:>,0.01163767,0.1680382,0.016846824,0.012840106,0.013699203,0.0204332,0.018599827,0.3047646,0.0063300645,0.46446046,0.033808112,0.02869215,0.22851475,0.11095916,0.001442236,0.013477549,0.020331502,0.25000542,0.08784552,0.5365016,0.97881776
0.09,<p:>,0.010734297,0.15865171,0.015367557,0.011746809,0.012252951,0.019681234,0.017096374,0.28888416,0.006135827,0.45049787,0.033166174,0.028492445,0.20720367,0.098044656,0.0013315476,0.012354636,0.019720197,0.24377118,0.086158514,0.52131957,0.98033625
0.1,<p:>,0.009871915,0.14956339,0.014025554,0.010747445,0.01102244,0.018504126,0.015543728,0.27446246,0.0059852977,0.436702,0.032380212,0.028301178,0.18572283,0.08703232,0.0012466457,0.011320668,0.019465838,0.23720618,0.08461277,0.5040469,0.9817023
0.11,<p:>,0.009114813,0.14174253,0.012992296,0.009916465,0.009969432,0.01735103,0.014030957,0.26143572,0.0058653853,0.42330897,0.031603776,0.028284533,0.16608751,0.078077845,0.0011822501,0.010419901,0.019453026,0.23059534,0.08349082,0.48791128,0.98286444
0.12,<p:>,0.008530277,0.13582873,0.012224727,0.00924876,0.009149962,0.016504282,0.0128359245,0.25127047,0.0057908082,0.4127524,0.031273685,0.028558232,0.15042278,0.07098441,0.0011463119,0.009721253,0.01962176,0.22547977,0.08337518,0.47521856,0.9837505
0.13,<p:>,0.00800234,0.13064314,0.011549954,0.008653066,0.00843717,0.01570825,0.011701995,0.24197501,0.0057446,0.4040086,0.03084341,0.028869838,0.13513032,0.06477465,0.0011206835,0.009095733,0.019982928,0.2209441,0.08358156,0.4634527,0.9844702
0.14,<p:>,0.007566256,0.1268978,0.011023231,0.008156866,0.007858089,0.015155825,0.010757822,0.23548558,0.0057400186,0.39799562,0.030624915,0.029371971,0.12236333,0.05992462,0.0011120526,0.008587824,0.020374253,0.2185292,0.08469178,0.45447874,0.9849039
0.15,<p:>,0.007217133,0.12454725,0.010714916,0.0077489633,0.007436133,0.014677178,0.009979287,0.23094855,0.0058467775,0.39552152,0.030894227,0.030086989,0.1123083,0.056196526,0.001140159,0.008196818,0.020734703,0.21915407,0.08665071,0.44894224,0.9851644
0.16,<p:>,0.00693183,0.123534575,0.010509281,0.0074435314,0.00710028,0.014326724,0.009325,0.22837524,0.0060134158,0.39659694,0.03149428,0.03095159,0.10426199,0.053184547,0.001190757,0.0078986585,0.021286128,0.22174408,0.08947714,0.44618294,0.985313
0.17,<p:>,0.0066945883,0.123682305,0.01038213,0.007204012,0.006833159,0.014069399,0.008709437,0.22771423,0.006202871,0.39982963,0.032268513,0.03193718,0.09717567,0.050793767,0.0012667284,0.007665504,0.022043042,0.225943,0.09286766,0.4456153,0.9853164
0.18,<p:>,0.006590577,0.12581474,0.0104262065,0.007098489,0.0067102453,0.014079764,0.008299119,0.22942275,0.0065285023,0.40602285,0.03407507,0.03338043,0.093183465,0.049476754,0.0013981182,0.0076261056,0.022879012,0.23322372,0.09716459,0.4482901,0.98510253
0.19,<p:>,0.0065451777,0.1295037,0.010579765,0.0070897792,0.006644725,0.014261232,0.007965882,0.23324148,0.006926144,0.41567335,0.03637496,0.03516257,0.09043942,0.048741218,0.0015684428,0.0076819207,0.023907961,0.2432672,0.10300764,0.45458668,0.98457783
0.2,<p:>,0.0065854155,0.13530478,0.010887893,0.0071867076,0.006673449,0.014600149,0.00772515,0.24279761,0.0074378746,0.42862165,0.039400537,0.037393734,0.08920703,0.04866684,0.0017992322,0.00783375,0.02523882,0.25600687,0.11062196,0.4649785,0.98362005
0.21,<p:>,0.0067668147,0.14414728,0.011480637,0.007396549,0.006865253,0.015240619,0.0076680733,0.2577837,0.0081141135,0.44569027,0.043643795,0.040316947,0.090271465,0.04944405,0.002148892,0.008204159,0.026855165,0.2716155,0.1206778,0.47961605,0.98229223
0.22,<p:>,0.006915352,0.15490368,0.011997495,0.0076497924,0.0070304796,0.015956882,0.007518533,0.27791396,0.008742061,0.46555084,0.0483886,0.04348826,0.0912073,0.050343536,0.002601643,0.008586473,0.028648416,0.28930572,0.13280328,0.49582177,0.9807255
0.23,<p:>,0.007290582,0.1713682,0.012836619,0.008048568,0.0074453736,0.017274352,0.0076915044,0.30922496,0.009479612,0.49207166,0.05540688,0.04811712,0.09627377,0.052439373,0.0033569757,0.009328556,0.030995827,0.31651443,0.14944407,0.5176729,0.97805715
0.24,<p:>,0.00775938,0.19279075,0.013881873,0.008542392,0.008026036,0.018730288,0.007854227,0.35103685,0.0102593945,0.5258829,0.064375855,0.053811308,0.102678984,0.054582965,0.0045509497,0.010259196,0.033852607,0.3525013,0.16918427,0.5460856,0.9744545
