time,phoneme,vocalic,consonantal,back,anterior,open,close,nasal,stop,target_vowels,target_plosives,non_target_plosives,continuant,lateral,flap,trill,voice,strident,labial,dental,velar,pause
0.0,<p:>,0.049476553,0.2087671,0.049088057,0.033578426,0.057178687,0.024247695,0.029747766,0.4736209,0.020839097,0.5754532,0.023389168,0.04849388,0.13393268,0.2032001,0.0008296185,0.029810637,0.058959343,0.23258907,0.14258333,0.6257795,0.9500248
0.01,<p:>,0.04063773,0.300503,0.05482745,0.040592786,0.060386382,0.036391847,0.04506287,0.5339392,0.014539985,0.61997265,0.036615234,0.041098136,0.25536492,0.3286416,0.0028598323,0.032731008,0.039547913,0.33080205,0.16441646,0.68832445,0.9412894
0.02,<p:>,0.031921025,0.30558714,0.046218026,0.034997806,0.048013914,0.033865687,0.04084132,0.51657563,0.011992984,0.60442984,0.039296195,0.03566469,0.32513046,0.32813382,0.0033672606,0.03206662,0.03326083,0.3099587,0.15337604,0.6901263,0.94891864
0.03,<p:>,0.027284868,0.2826242,0.041109707,0.028368646,0.04047545,0.030226182,0.03554675,0.48836827,0.011163147,0.586605,0.037537288,0.033177752,0.34606287,0.28013462,0.002967165,0.029585242,0.029865215,0.29273337,0.13746732,0.6756622,0.956607
0.04,<p:>,0.023251217,0.261711,0.035469115,0.023987895,0.033668783,0.027848424,0.031461664,0.46738815,0.010377887,0.5754118,0.036276545,0.03163298,0.3423213,0.23817173,0.002510987,0.026320655,0.027073754,0.28631905,0.13006465,0.66225606,0.9618458
0.05,<p:>,0.020241447,0.24357167,0.031330146,0.020959603,0.028419532,0.026774565,0.028576462,0.44883177,0.009770004,0.5652232,0.03582344,0.030950006,0.33209074,0.20405956,0.0022103987,0.023662403,0.02504643,0.28214487,0.12650536,0.6480506,0.96551746
0.06,<p:>,0.017777892,0.22616425,0.02770617,0.018676661,0.023914104,0.026011387,0.026105015,0.42647913,0.009161556,0.55427575,0.035560846,0.030480288,0.31487265,0.17385133,0.0019645267,0.021105371,0.023580674,0.27612567,0.12420613,0.6319913,0.96860266
0.07,<p:>,0.015962012,0.21214007,0.024819707,0.016612954,0.020578582,0.024882512,0.024129583,0.40478957,0.008783849,0.5411296,0.035180256,0.030358061,0.2931098,0.15284367,0.0017720204,0.019125324,0.02229778,0.27015233,0.12245286,0.6148912,0.97105235
0.08,<p:>,0.014473071,0.20127995,0.022363478,0.014829907,0.0179252,0.023968471,0.022367256,0.3857568,0.008498928,0.5273666,0.034743227,0.03030096,0.26933265,0.13605405,0.0016115614,0.01730263,0.021227676,0.26587167,0.121872626,0.59915423,0.9732894
0.09,<p:>,0.013453844,0.19193862,0.020576635,0.013733301,0.016023476,0.02349363,0.020951066,0.36894032,0.0082598245,0.51487994,0.034296837,0.030310562,0.24587332,0.12040244,0.0014729286,0.015775578,0.020337729,0.26151916,0.12141007,0.5859151,0.9751723
0.1,<p:>,0.012604056,0.18378931,0.01925716,0.012825826,0.01453774,0.022767048,0.01961259,0.3533568,0.008107527,0.50319797,0.033910718,0.030391067,0.22442411,0.10740678,0.001363646,0.014568806,0.019652322,0.25670382,0.12119087,0.5712292,0.97658604
0.11,<p:>,0.011859127,0.17696261,0.01822463,0.012034908,0.013381645,0.02199257,0.018353853,0.3396023,0.0080333175,0.49253377,0.03353315,0.030550063,0.20407616,0.09704054,0.0012806876,0.0136319995,0.01928228,0.25164962,0.12157523,0.557314,0.97765756
0.12,<p:>,0.011274288,0.17213817,0.017459055,0.011380139,0.012477773,0.021425951,0.017340358,0.32882404,0.0080119865,0.48335096,0.033477403,0.030867293,0.18697028,0.08919665,0.0012301097,0.012924092,0.019154226,0.24813855,0.12306873,0.54578966,0.97848356
0.13,<p:>,0.01074863,0.16818398,0.016750034,0.010777976,0.011702221,0.020760037,0.016322678,0.31936556,0.008034902,0.47492507,0.03325668,0.031160627,0.17085174,0.0824235,0.0011938341,0.012296946,0.019171558,0.24612129,0.12490714,0.5349,0.9791534
0.14,<p:>,0.010320799,0.16547526,0.016241325,0.010261616,0.011067247,0.020268746,0.015414932,0.31204033,0.0081143435,0.46878022,0.03331308,0.031700548,0.1572118,0.076865464,0.0011807662,0.0117912255,0.019410841,0.24588841,0.12822336,0.52632606,0.9796418
0.15,<p:>,0.01002559,0.16440445,0.015980149,0.009840735,0.01063886,0.01994345,0.014687912,0.30673733,0.008322875,0.4652107,0.033722185,0.032591034,0.14600012,0.07257496,0.0011980806,0.011440493,0.019927,0.24786952,0.13241005,0.5210648,0.9798989
0.16,<p:>,0.0097047,0.16437323,0.015823819,0.009444039,0.01028818,0.019516407,0.013997591,0.3035416,0.008555646,0.4658553,0.03476054,0.033777203,0.13614476,0.06869739,0.0012520505,0.0111209685,0.020473327,0.252175,0.13768871,0.51813745,0.9799906
0.17,<p:>,0.009409753,0.16550173,0.015712144,0.00907183,0.009979858,0.019138094,0.01333948,0.302944,0.008824311,0.46862316,0.036356438,0.035390817,0.12706755,0.06550781,0.0013357736,0.010884234,0.021252552,0.25862485,0.1441928,0.5161261,0.9798304
0.18,<p:>,0.009303449,0.16936602,0.016001767,0.008796745,0.009893018,0.01912154,0.012965987,0.30560586,0.009275263,0.47598314,0.038902663,0.037688952,0.12131164,0.06350941,0.0014839316,0.010903196,0.022196507,0.26896155,0.15281817,0.51733947,0.97922534
0.19,<p:>,0.009291406,0.17529319,0.01638962,0.00861484,0.009942199,0.019290375,0.012690161,0.3133395,0.00981162,0.48593625,0.04207653,0.04038478,0.11710116,0.062207405,0.0016851181,0.011069006,0.023280678,0.28205195,0.16285773,0.5196035,0.9782147
0.2,<p:>,0.009390816,0.18449678,0.016941125,0.008550243,0.0101181865,0.019656768,0.01261119,0.32692343,0.010484563,0.5006618,0.046242263,0.043653928,0.114452355,0.06158516,0.0019628708,0.011455015,0.02455731,0.29903236,0.17532295,0.524997,0.9767477
0.21,<p:>,0.009684145,0.19762751,0.017923404,0.008595443,0.010565527,0.020494048,0.012804019,0.34728405,0.01144687,0.5203836,0.051950492,0.047888324,0.11557556,0.062233046,0.0023634534,0.012045992,0.026050992,0.3214698,0.1901821,0.5359518,0.9745857
0.22,<p:>,0.00995379,0.21304122,0.018871505,0.008685977,0.010983803,0.021367254,0.012746311,0.3729478,0.012278665,0.544993,0.05811763,0.0523867,0.11653746,0.06293928,0.0028828362,0.012628612,0.028181639,0.34771198,0.2073989,0.54782444,0.97151893
0.23,<p:>,0.010470331,0.23476467,0.020469101,0.008949012,0.0117609445,0.022829028,0.012929568,0.40965426,0.013398402,0.57642007,0.06710221,0.058289528,0.12126342,0.06528782,0.00375398,0.01365483,0.030929241,0.38102627,0.23087594,0.56418735,0.9668445
0.24,<p:>,0.011123643,0.26238665,0.022362629,0.00928708,0.012587582,0.02457917,0.013047837,0.4629436,0.014799543,0.6150503,0.07820523,0.06485905,0.12678333,0.0682618,0.00509753,0.014980534,0.034046628,0.42093298,0.25995585,0.58326864,0.9598328
0.25,<p:>,0.01181379,0.29680604,0.024104496,0.009739317,0.01336594,0.026685765,0.01326084,0.53038156,0.016352503,0.6600721,0.09181995,0.07302202,0.13225263,0.07088749,0.007185208,0.0165168,0.037794612,0.4700557,0.3004516,0.6036009,0.94923097
0.26,<p:>,0.012531497,0.33586925,0.026147943,0.01025848,0.014404795,0.02869206,0.01353502,0.607336,0.018243693,0.71127063,0.1091456,0.083187334,0.13861996,0.07190293,0.010858368,0.018007277,0.042978317,0.5255149,0.3593138,0.6260255,0.93420494
0.27,<p:>,0.013104676,0.39602792,0.026708683,0.010875068,0.015379601,0.030675499,0.01326735,0.7014837,0.020248998,0.7730229,0.13640617,0.10011803,0.14251211,0.068691224,0.019212695,0.018665675,0.051863354,0.59584624,0.43330765,0.64926004,0.9100909
0.28,<p:>,0.014301267,0.505083,0.027333796,0.012278467,0.017565243,0.034535017,0.011545892,0.81395406,0.02195202,0.850505,0.18296939,0.12097836,0.14648925,0.057026625,0.048056357,0.020009533,0.062987566,0.69473326,0.52017856,0.6774884,0.8646931
0.29,<p:>,0.038387395,0.72679406,0.07375049,0.017321054,0.0664036,0.031384967,0.018339543,0.9194431,0.08487581,0.9320407,0.30085534,0.16491741,0.17439468,0.07047217,0.32748815,0.0428206,0.05997845,0.8593918,0.65664554,0.6329503,0.71030885
0.3,<p:>,0.079590276,0.8166301,0.15442917,0.016399441,0.14364785,0.026049254,0.021586852,0.95358986,0.19189769,0.95798206,0.31743973,0.17148304,0.146061,0.12502716,0.38427547,0.070591755,0.053726226,0.8906841,0.77881193,0.5488049,0.54694617
0.31,<p:>,0.25974926,0.77253366,0.37242955,0.026229773,0.3663561,0.054825846,0.039453886,0.9540696,0.4809564,0.95787764,0.30357605,0.17846628,0.098496564,0.19397496,0.3436425,0.1582362,0.06686666,0.8646215,0.81399375,0.52486706,0.13833529
0.32,<p:>,0.47552526,0.6455472,0.62163466,0.039331023,0.5697935,0.096764125,0.08723227,0.9086913,0.6645525,0.9268936,0.26471412,0.17416969,0.116456956,0.27791148,0.24915549,0.29775405,0.07513219,0.82552236,0.68164504,0.6780073,0.0534803
0.33,<p:>,0.60978687,0.49529642,0.76809573,0.07170424,0.6893244,0.15562317,0.0978775,0.7748593,0.7738994,0.8150513,0.22134207,0.18967813,0.17140469,0.39766866,0.15454829,0.48860678,0.10008408,0.64835185,0.55222094,0.7319492,0.12198887
0.34,<p:>,0.5364866,0.37980914,0.6854799,0.170189,0.5952548,0.09827871,0.15458763,0.5468184,0.6949202,0.6308007,0.15102172,0.13194585,0.3515414,0.6027373,0.1038054,0.44365084,0.065309845,0.35291103,0.36700308,0.6829989,0.6410291
0.35000000000000003,<p:>,0.3763512,0.38746983,0.52047306,0.21238622,0.42656633,0.096689686,0.2563595,0.52916324,0.48523638,0.6473279,0.11872725,0.08762565,0.50353926,0.60180676,0.04278565,0.26597172,0.054103848,0.3079183,0.2791515,0.65300184,0.79494596
0.36,<p:>,0.1731483,0.4268415,0.19793607,0.18853387,0.21535103,0.14845763,0.24443084,0.62823224,0.14299639,0.73720425,0.1423001,0.108924486,0.5429439,0.54256403,0.020483019,0.123769075,0.101861164,0.34846255,0.41412526,0.71821856,0.8675895
0.37,<p:>,0.14891985,0.5134935,0.1647958,0.18622364,0.1787085,0.16366893,0.23388763,0.7114252,0.099831,0.7678792,0.20391844,0.13505498,0.6135409,0.53078854,0.04293991,0.12782042,0.120750785,0.49493593,0.47682795,0.77578616,0.83027923
0.38,<p:>,0.1181993,0.5583312,0.13809448,0.16427688,0.14162654,0.16422294,0.15230913,0.7543613,0.07809979,0.7925623,0.23614195,0.17176251,0.57138443,0.50693136,0.06558744,0.11216054,0.16096394,0.61353606,0.5392131,0.79581845,0.80780154
0.39,<p:>,0.11349433,0.5907927,0.1239656,0.16911072,0.12329629,0.16446264,0.10968668,0.7872155,0.07412206,0.82093304,0.30740437,0.22124866,0.55313265,0.4803106,0.12064749,0.10754086,0.13753177,0.65365434,0.6322263,0.7923847,0.80041444
0.4,<p:>,0.05601679,0.05093989,0.11495345,0.019521534,0.07317247,0.011611493,0.025070546,0.026632214,0.050305054,0.040446244,0.009897466,0.06317789,0.07113951,0.21805447,0.00011775009,0.02976441,0.08576557,0.017760416,0.023778856,0.03189229,0.9753167
0.41000000000000003,<p:>,0.02097494,0.029123906,0.044230446,0.00900328,0.024314767,0.0043768706,0.009822544,0.015789472,0.019943636,0.027033348,0.005412953,0.035115656,0.0381579,0.13004784,5.4785043e-05,0.011663356,0.04925537,0.01095878,0.013262177,0.020411598,0.98909175
0.42,<p:>,0.012852928,0.022605043,0.030175887,0.0054475055,0.01450671,0.002762221,0.0064437594,0.010920503,0.012189056,0.01936644,0.004136096,0.026167955,0.028239377,0.09552092,3.8014474e-05,0.007741748,0.037007026,0.007664859,0.00877827,0.014250311,0.99236596
0.43,<p:>,0.009635417,0.018769119,0.026577897,0.0035315172,0.011451494,0.0020007342,0.0046163644,0.0079132905,0.009446791,0.014489185,0.0033166949,0.022070577,0.019849349,0.06963928,2.7289123e-05,0.006278268,0.029943237,0.005673928,0.0060636257,0.010261602,0.99391323
0.44,<p:>,0.0071800603,0.01511428,0.02074334,0.0025077274,0.0085153235,0.0014485911,0.003339601,0.0060457624,0.007308889,0.011553248,0.0026944985,0.017880362,0.012950585,0.050232433,1.9402094e-05,0.004732271,0.023232315,0.0043331683,0.0045964173,0.008006058,0.99545336
0.45,<p:>,0.0048001036,0.011825739,0.014224418,0.0017289757,0.0055109668,0.0010026486,0.0022906428,0.0045062453,0.0052171554,0.008806954,0.0020405706,0.014152594,0.007999747,0.036427997,1.2125722e-05,0.0031419962,0.01823281,0.0031494987,0.0034905754,0.006195292,0.9968806
