time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,<p:>,0.017222669,0.002582675,0.027791694,0.019066151
0.01,<p:>,0.009175699,0.0010674554,0.009634822,0.005510144
0.02,<p:>,0.0067778444,0.0007430661,0.0046037217,0.0026480423
0.03,<p:>,0.0054125236,0.0005321905,0.0030358068,0.0017318603
0.04,<p:>,0.004299637,0.00039195863,0.0020881332,0.0012399112
0.05,<p:>,0.0038466984,0.00034311938,0.0017529632,0.0010747352
0.06,<p:>,0.0036020146,0.0003035771,0.0014444077,0.0009617246
0.07,<p:>,0.003270283,0.0002358557,0.0011146776,0.00076017575
0.08,<p:>,0.0028979545,0.00019816872,0.00090371363,0.0005570422
0.09,<p:>,0.0031480256,0.00022688364,0.00078922766,0.00047602062
0.1,<p:>,0.0042630234,0.00033522098,0.0008772003,0.0005374249
0.11,<p:>,0.00563437,0.0004651408,0.0010305558,0.00061865826
0.12,<p:>,0.0079514105,0.0007210297,0.001260074,0.00078360055
0.13,<p:>,0.011947761,0.0011087059,0.0017033402,0.0011527966
0.14,<p:>,0.01877611,0.0018421796,0.002437369,0.0018511218
0.15,<p:>,0.03001438,0.0031281032,0.0035681059,0.00287183
0.16,<p:>,0.0562222,0.0049274787,0.004918612,0.0037875334
0.17,<p:>,0.122349,0.008184561,0.006728644,0.004529904
0.18,<p:>,0.27835035,0.0150663005,0.008401855,0.005169614
0.19,p,0.5372542,0.033170864,0.009527653,0.006630165
0.2,p,0.7155052,0.09394887,0.026875392,0.022654314
0.21,p,0.66594875,0.09748291,0.17973119,0.16975676
0.22,p,0.43136606,0.07977382,0.32636547,0.37277457
0.23,rr,0.26884624,0.07739714,0.4196737,0.49281946
0.24,rr,0.2114552,0.10864654,0.4897598,0.5296649
0.25,rr,0.19934848,0.1410963,0.6905234,0.5739006
0.26,rr,0.21374215,0.18867366,0.8192616,0.68202275
0.27,rr,0.1757117,0.20194991,0.80605465,0.7259347
0.28,a,0.14301452,0.21017863,0.77540946,0.7302636
0.29,a,0.16502073,0.22678608,0.76353866,0.68170375
0.3,a,0.18427578,0.28742966,0.7228677,0.6030246
0.31,a,0.18142301,0.3778991,0.612847,0.47261104
0.32,r,0.19745167,0.4538779,0.5362735,0.37260914
0.33,r,0.22108361,0.5268968,0.5485456,0.36434236
0.34,r,0.23105943,0.56470954,0.58437663,0.40491354
0.35000000000000003,n,0.25160348,0.5758623,0.596451,0.42463404
0.36,n,0.35001513,0.6002524,0.51505625,0.40162474
0.37,n,0.50065404,0.69102865,0.40266493,0.32647857
0.38,d,0.6829773,0.7886517,0.23874183,0.2221442
0.39,d,0.7322083,0.82273626,0.15400946,0.18823195
0.4,<p:>,0.0306036,0.02297386,0.28344247,0.26865333
0.41000000000000003,<p:>,0.031746697,0.02097741,0.30441025,0.22738709
0.42,<p:>,0.02837469,0.018700555,0.32830065,0.2077091
0.43,<p:>,0.026484493,0.016837824,0.38534102,0.22441196
0.44,<p:>,0.022990925,0.012162951,0.42642733,0.21400689
0.45,<p:>,0.017794443,0.008164261,0.34139445,0.1442453
0.46,<p:>,0.013268449,0.005178126,0.22537903,0.08956181
0.47000000000000003,<p:>,0.009116001,0.002916052,0.10312624,0.04261496
0.48,<p:>,0.0056987833,0.0014242335,0.044837523,0.020597434
0.49,<p:>,0.004226567,0.001025713,0.023490962,0.011988573
0.5,<p:>,0.003296805,0.0006890887,0.0120128095,0.0065091406
0.51,<p:>,0.0027902487,0.0005313794,0.0070876884,0.003958033
0.52,<p:>,0.0023910168,0.00041425612,0.0051961173,0.0028509162
0.53,<p:>,0.0020619056,0.00035643927,0.003773737,0.0020282038
0.54,<p:>,0.0018254311,0.00032818108,0.0031279752,0.0016023719
0.55,<p:>,0.0018539259,0.0003616276,0.0032309114,0.001584765
0.56,<p:>,0.0019160166,0.0003530221,0.004094415,0.0018288256
0.5700000000000001,<p:>,0.0023084045,0.00040153542,0.0062768552,0.0026355893
0.58,<p:>,0.0025283706,0.000397276,0.009197438,0.0035841698
0.59,<p:>,0.002378471,0.00034216506,0.01056414,0.003839316
0.6,<p:>,0.0019550603,0.00025186475,0.0072451853,0.0025953588
0.61,<p:>,0.0016959027,0.00021832238,0.004443184,0.0016301095
0.62,<p:>,0.0016367051,0.00020925284,0.0030551257,0.0012190737
0.63,<p:>,0.0016101373,0.0002161818,0.0021242595,0.00094096985
0.64,<p:>,0.001686383,0.00023953401,0.0016492459,0.00082382135
0.65,<p:>,0.0015429937,0.0002444252,0.0011045481,0.0006288691
0.66,<p:>,0.0014401595,0.00022786572,0.0009160645,0.0005285231
0.67,<p:>,0.0015053028,0.00026915484,0.0010522668,0.00056651415
0.68,<p:>,0.001618318,0.0003034148,0.0010060206,0.00052509416
0.6900000000000001,<p:>,0.0022473542,0.0004298292,0.0010135183,0.0005567524
0.7000000000000001,<p:>,0.0028875922,0.0005314017,0.0010881195,0.0006559788
0.71,<p:>,0.0031560608,0.0005174732,0.001036491,0.0006928494
0.72,<p:>,0.0034028369,0.00050580676,0.0010566415,0.00070276327
0.73,<p:>,0.004242484,0.00059772294,0.0011764113,0.00075231586
0.74,<p:>,0.0056463513,0.0007158196,0.0013643553,0.0008442493
0.75,<p:>,0.008350202,0.0009814145,0.0014806405,0.0010314122
0.76,<p:>,0.0139939785,0.0015737611,0.0020943854,0.0014467245
0.77,<p:>,0.022883147,0.0025957844,0.003196481,0.0018293269
0.78,<p:>,0.04132681,0.005832156,0.004887543,0.0023492647
0.79,<p:>,0.07387022,0.018710474,0.0065137115,0.0037832106
0.8,<p:>,0.01596722,0.0039524175,0.011439652,0.010147937
0.81,<p:>,0.010649596,0.0017557858,0.004778178,0.0031815202
0.8200000000000001,<p:>,0.008620226,0.0013762304,0.0030881327,0.0020682055
0.8300000000000001,<p:>,0.007362609,0.0011145688,0.0022111034,0.0016464212
0.84,<p:>,0.0070545576,0.001022253,0.0017558953,0.0015079095
0.85,<p:>,0.007273395,0.0010107842,0.0014603023,0.0013858665
0.86,<p:>,0.0076437476,0.001108578,0.0013115522,0.0013644937
0.87,<p:>,0.0082132965,0.0013297184,0.001163755,0.0013776722
0.88,<p:>,0.009515017,0.0018327249,0.0010316893,0.0014979223
0.89,<p:>,0.011047439,0.00267808,0.0011138252,0.0018171344
0.9,<p:>,0.01321542,0.0044621015,0.0015447227,0.0025814984
0.91,<p:>,0.022432461,0.01073822,0.0024223179,0.008893626
0.92,<p:>,0.026743721,0.013844939,0.003334426,0.031275675
0.93,<p:>,0.025070284,0.015057609,0.004707432,0.061939646
0.9400000000000001,<p:>,0.018152053,0.010864957,0.0047518234,0.03896314
0.9500000000000001,<p:>,0.012395466,0.0065206205,0.0038773501,0.0171874
0.96,<p:>,0.009228333,0.0043127183,0.0032194732,0.008874249
0.97,<p:>,0.007626243,0.003120993,0.0027886718,0.0059278086
0.98,<p:>,0.0064421115,0.0025349788,0.0024263484,0.0049754474
0.99,<p:>,0.0059728823,0.0023662408,0.0022944119,0.0042817895
1.0,<p:>,0.005831781,0.0021525382,0.0021655962,0.0036541456
1.01,<p:>,0.0057647624,0.0016931576,0.0018129349,0.0030424441
1.02,<p:>,0.005638902,0.0012943309,0.0016147534,0.0024411401
1.03,<p:>,0.005316805,0.0009968892,0.0015064261,0.001987566
1.04,<p:>,0.0047735977,0.0008031609,0.0013639928,0.0015613664
1.05,<p:>,0.004449338,0.0006952139,0.0011934295,0.0013229859
1.06,<p:>,0.0042178663,0.000612343,0.0010620246,0.0011467139
1.07,<p:>,0.0045429645,0.0006661885,0.0010495236,0.0011555272
1.08,<p:>,0.004725388,0.0006892161,0.0009699876,0.0011373233
1.09,<p:>,0.004644822,0.0007130119,0.0009794423,0.0010930717
1.1,<p:>,0.0048954487,0.0008285215,0.0010425261,0.0011033829
1.11,<p:>,0.006323317,0.0011750662,0.0011247002,0.0013626165
1.12,<p:>,0.008148815,0.0014631931,0.0013236685,0.0017170878
1.1300000000000001,<p:>,0.010804792,0.0019642555,0.0018093118,0.0024732973
1.1400000000000001,<p:>,0.013953991,0.0022540425,0.0020141571,0.0032104726
1.1500000000000001,<p:>,0.018559571,0.0028028693,0.0022991782,0.0038054807
1.16,<p:>,0.024220716,0.0036831957,0.0026309507,0.003812744
1.17,<p:>,0.036123816,0.0064790635,0.0033316712,0.0042663687
1.18,<p:>,0.058457937,0.013591039,0.0041809375,0.005292518
1.19,<p:>,0.09474136,0.038735718,0.007387088,0.009432725
1.2,<p:>,0.024268249,0.0065884767,0.028239472,0.028029466
1.21,<p:>,0.020835306,0.0038284953,0.009226289,0.009403476
1.22,<p:>,0.01646149,0.0027536203,0.005173914,0.0054391413
1.23,<p:>,0.012554434,0.002237209,0.003918118,0.0043476094
1.24,<p:>,0.009499451,0.0018418429,0.0033822958,0.004262551
1.25,<p:>,0.0074753864,0.0014435924,0.0026216677,0.004190981
1.26,<p:>,0.0061715213,0.0011800595,0.0022165026,0.0036918041
1.27,<p:>,0.0054061203,0.0010419989,0.0019940254,0.0029674612
1.28,<p:>,0.004569199,0.00089132664,0.0018003518,0.0023571544
1.29,<p:>,0.0039644274,0.0007998667,0.0015016755,0.0019375928
1.3,<p:>,0.0036045434,0.000713247,0.0012468583,0.0018116471
1.31,<p:>,0.00308538,0.0005760509,0.0010106574,0.001558522
1.32,<p:>,0.0026983276,0.0004865213,0.0008971521,0.0013057112
1.33,<p:>,0.0023287216,0.00040384423,0.0007661286,0.00096591737
