time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,<p:>,0.012401222,0.0013888407,0.016942559,0.01070867
0.01,<p:>,0.0065773996,0.0005610923,0.00590369,0.003384891
0.02,<p:>,0.0046895524,0.0003788865,0.0029369183,0.0016752906
0.03,<p:>,0.0037141829,0.0003014673,0.0020003677,0.0011592971
0.04,<p:>,0.003302215,0.00027943886,0.0016664807,0.0010621753
0.05,<p:>,0.0029266872,0.0002541508,0.0013223246,0.0009164099
0.06,<p:>,0.0028553514,0.0002477931,0.0011040223,0.0007967872
0.07,<p:>,0.0028017447,0.00026675596,0.00095372344,0.0007117071
0.08,<p:>,0.0034473126,0.0004152409,0.0011429939,0.0008532729
0.09,<p:>,0.004033673,0.00052667636,0.001404338,0.0009774816
0.1,<p:>,0.0041658883,0.00050527183,0.0015721292,0.00092193956
0.11,<p:>,0.003897363,0.0003672146,0.0013686606,0.00077495823
0.12,<p:>,0.0035038332,0.00026364523,0.001075882,0.0006056519
0.13,<p:>,0.0032066922,0.00020800109,0.0008768104,0.00047417716
0.14,<p:>,0.0030526884,0.00017916273,0.0007756815,0.00042342633
0.15,<p:>,0.002963264,0.00016010496,0.0007408865,0.00041896157
0.16,<p:>,0.0029457638,0.00015306755,0.0007171415,0.00040975373
0.17,<p:>,0.0031756524,0.00017090977,0.0007276897,0.0004097918
0.18,<p:>,0.003591503,0.0002140679,0.00072167796,0.00040546086
0.19,<p:>,0.004577007,0.00030956135,0.0008211973,0.00046231176
0.2,<p:>,0.005709417,0.00035830456,0.0008070747,0.0004726976
0.21,<p:>,0.0075208177,0.00049037475,0.0009215048,0.00056016375
0.22,<p:>,0.0103752585,0.0007197535,0.001142787,0.0007048842
0.23,<p:>,0.014865473,0.0012479074,0.0013878214,0.000872301
0.24,<p:>,0.022850115,0.0023734267,0.0017154842,0.0011377583
0.25,<p:>,0.041155484,0.004920647,0.0023039596,0.0018519369
0.26,<p:>,0.06815593,0.009154187,0.0033867364,0.00337227
0.27,<p:>,0.13325942,0.021791954,0.009666368,0.0131395785
0.28,<p:>,0.23214543,0.03740597,0.025035726,0.055417363
0.29,<p:>,0.30691385,0.041999534,0.052490212,0.11876656
0.3,<p:>,0.35228288,0.035141237,0.091407195,0.11676487
0.31,<p:>,0.34820578,0.033030614,0.10046681,0.084851205
0.32,<p:>,0.33115467,0.03562139,0.1091473,0.0798967
