time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,p,0.8637807,0.5513662,0.11552262,0.22605526
0.01,p,0.8355783,0.61609304,0.08187102,0.29086187
0.02,p,0.6927325,0.63071495,0.06216475,0.5816353
0.03,p,0.45449927,0.63360417,0.08152513,0.7496716
0.04,o,0.2874719,0.61232716,0.11008167,0.7788867
0.05,o,0.25879285,0.5892862,0.12207473,0.72125345
0.06,r,0.26375756,0.5395702,0.12739347,0.6781124
0.07,r,0.2708412,0.42506164,0.14859734,0.70942503
0.08,e,0.24352227,0.28324115,0.15259509,0.7836125
0.09,e,0.1864292,0.2071935,0.17034411,0.8222927
0.1,e,0.16998595,0.17481941,0.19872072,0.8171537
0.11,e,0.16736934,0.16916414,0.19507892,0.7832787
0.12,e,0.16544618,0.16933805,0.20843858,0.7320812
0.13,e,0.16740373,0.18443108,0.2140468,0.6194017
0.14,l,0.17221801,0.18875512,0.21387789,0.41256186
0.15,l,0.17738627,0.16955543,0.17237645,0.2321883
0.16,l,0.17744774,0.1430283,0.17197643,0.15262014
0.17,l,0.18707833,0.14314446,0.20489769,0.15885805
0.18,<p:>,0.19107467,0.1542807,0.27037138,0.19958588
0.19,<p:>,0.19158186,0.17255203,0.34780148,0.27284595
0.2,<p:>,0.19515865,0.15615332,0.43253863,0.33935106
0.21,<p:>,0.17689797,0.11133906,0.50603473,0.3887943
0.22,<p:>,0.1577816,0.09125022,0.54132056,0.38523325
0.23,<p:>,0.13741487,0.07994355,0.5916013,0.3983607
0.24,<p:>,0.12417688,0.07175858,0.6332769,0.40805078
0.25,<p:>,0.11621734,0.07688502,0.6712096,0.4494873
0.26,<p:>,0.11147403,0.10483596,0.68845624,0.46605203
0.27,<p:>,0.10142077,0.12336289,0.7037045,0.45217884
0.28,<p:>,0.08517033,0.10165899,0.6927838,0.411489
0.29,<p:>,0.069503106,0.060501926,0.63825965,0.3510273
0.3,<p:>,0.053627845,0.027569182,0.46098256,0.21641845
0.31,<p:>,0.041693922,0.012171603,0.2366028,0.10121155
0.32,<p:>,0.031256918,0.0072107064,0.089584254,0.042705733
0.33,<p:>,0.02640721,0.00628911,0.034288764,0.021695774
0.34,<p:>,0.024542887,0.0059524225,0.015997425,0.012325057
0.35000000000000003,<p:>,0.02667044,0.0077199144,0.011670175,0.010763497
0.36,<p:>,0.033053715,0.010455234,0.010286708,0.009764714
0.37,<p:>,0.047556695,0.016262272,0.009446604,0.007819088
0.38,<p:>,0.078248784,0.026889745,0.008038574,0.0061583337
0.39,<p:>,0.10245365,0.068854034,0.01046394,0.008146456
0.4,<p:>,0.04610062,0.0030923868,0.05247054,0.045729052
0.41000000000000003,<p:>,0.033921268,0.0016060561,0.0347913,0.024591565
0.42,<p:>,0.024475453,0.0010034647,0.027759504,0.016997878
0.43,<p:>,0.01732772,0.00068405375,0.021589784,0.012250267
0.44,<p:>,0.01567413,0.0007101995,0.01767893,0.009310566
0.45,<p:>,0.019705925,0.0010114908,0.026179373,0.01357402
0.46,<p:>,0.025686847,0.0014708736,0.041452665,0.023142805
0.47000000000000003,<p:>,0.021120144,0.0011593943,0.039611537,0.023355678
0.48,<p:>,0.01259976,0.00065219053,0.016924147,0.011259569
0.49,<p:>,0.008400623,0.0003864701,0.0078930585,0.004925651
0.5,<p:>,0.007882966,0.00031014768,0.0053147883,0.0029394678
0.51,<p:>,0.007260024,0.00025580515,0.0037534896,0.0018524344
0.52,<p:>,0.0062985574,0.00019424131,0.0027502442,0.0011721285
0.53,<p:>,0.006578618,0.000211852,0.0022902328,0.0009154473
0.54,<p:>,0.0075153206,0.0002742148,0.0019257063,0.0007921028
0.55,<p:>,0.008207512,0.000321699,0.0016650438,0.00070968264
0.56,<p:>,0.008227918,0.0003229309,0.0014519376,0.0006296686
0.5700000000000001,<p:>,0.007548996,0.00029543217,0.0010915982,0.00050071755
0.58,<p:>,0.008956567,0.00039087265,0.00097403175,0.0005142529
0.59,<p:>,0.0110674715,0.0005057417,0.0010227866,0.00057164143
0.6,<p:>,0.013518901,0.0006093212,0.0010158201,0.00059257017
0.61,<p:>,0.018599387,0.0008516045,0.0011067757,0.0006602275
0.62,<p:>,0.031230206,0.0015463517,0.0011458665,0.00085891044
0.63,<p:>,0.050555542,0.002301657,0.0012746073,0.0011573563
0.64,<p:>,0.08955404,0.0037420362,0.0014301785,0.0016429862
0.65,<p:>,0.18227029,0.006500126,0.0018990844,0.0024696754
0.66,<p:>,0.42430946,0.015483899,0.0028353822,0.0040512127
0.67,<p:>,0.75521237,0.037243832,0.005165636,0.0060290173
0.68,p,0.92508024,0.08662875,0.008595,0.009891076
0.6900000000000001,p,0.9752162,0.20864064,0.056695323,0.036114197
0.7000000000000001,p,0.98183525,0.17373464,0.42357925,0.1363204
0.71,p,0.96440995,0.12125736,0.733548,0.3490913
0.72,p,0.8755787,0.084395796,0.8916907,0.5325956
0.73,rr,0.6984442,0.05376494,0.9429202,0.7417997
0.74,rr,0.30581775,0.029557899,0.9633907,0.8814461
0.75,rr,0.0579287,0.022637364,0.97337383,0.9286169
0.76,a,0.01575728,0.023940256,0.9717584,0.9279997
0.77,a,0.024831919,0.044687845,0.9339653,0.77649
0.78,a,0.06007009,0.118007116,0.671316,0.3637282
0.79,a,0.13195302,0.124877244,0.29431483,0.1488114
0.8,a,0.3999294,0.08459812,0.10132415,0.17610188
0.81,T,0.29873446,0.05288042,0.022917008,0.05172469
0.8200000000000001,T,0.23306079,0.038136978,0.0097600985,0.022191828
0.8300000000000001,T,0.19176328,0.037562545,0.0075833392,0.021394596
0.84,T,0.17228091,0.047652863,0.0064642923,0.055143084
0.85,j,0.13876228,0.044945866,0.011181543,0.27040523
0.86,j,0.12919027,0.03450279,0.03329797,0.50336653
0.87,j,0.1057933,0.019257292,0.14894187,0.8130794
0.88,o,0.024877666,0.016897233,0.29467493,0.95651084
0.89,o,0.0113069285,0.024121733,0.43337265,0.9804242
0.9,o,0.036142875,0.025062615,0.40058392,0.97011936
0.91,o,0.3194739,0.020389259,0.36779517,0.88207537
0.92,k,0.8259107,0.0151523035,0.08700451,0.64818937
0.93,k,0.96165144,0.011372695,0.05599215,0.23474643
0.9400000000000001,k,0.9866217,0.011691202,0.041257907,0.098519936
0.9500000000000001,k,0.9950905,0.011544147,0.027114939,0.042774826
0.96,k,0.9985978,0.008513693,0.013185395,0.013683452
0.97,k,0.99889994,0.009659664,0.01085264,0.010485735
0.98,k,0.9969736,0.014559832,0.012194241,0.032134973
0.99,k,0.9691901,0.014187683,0.03151662,0.32142052
1.0,k,0.38243237,0.0039760093,0.04541477,0.9161952
1.01,u,0.035224333,0.0038593947,0.07096183,0.98266834
1.02,u,0.00451539,0.009909861,0.07651456,0.9679855
1.03,p,0.046335384,0.039109692,0.031299297,0.6739555
1.04,p,0.15930712,0.056178868,0.010172043,0.33684745
1.05,p,0.38128868,0.054505285,0.006101717,0.14841117
1.06,p,0.6322225,0.036979932,0.0040198946,0.0956779
1.07,p,0.8676882,0.02932014,0.0050868816,0.09676896
1.08,p,0.9438999,0.036589675,0.006667642,0.09020656
1.09,p,0.97652316,0.04436313,0.007491575,0.051650394
1.1,p,0.98842955,0.05308765,0.0068458947,0.026164401
1.11,p,0.9951059,0.06527882,0.003685653,0.011671868
1.12,p,0.9963259,0.09520879,0.006508042,0.014057473
1.1300000000000001,p,0.98632693,0.063103385,0.016600508,0.08437282
1.1400000000000001,p,0.90303385,0.046674695,0.023604248,0.57287
1.1500000000000001,p,0.51903754,0.017741838,0.009473231,0.9297357
1.16,o,0.09871038,0.013510256,0.012034658,0.9841242
1.17,o,0.026870372,0.026034532,0.034695655,0.98707783
1.18,o,0.016312536,0.07269654,0.07106574,0.9755658
1.19,o,0.03446308,0.19151475,0.10580135,0.9018986
1.2,N,0.22581011,0.15918732,0.25982863,0.7928878
1.21,N,0.46609935,0.08104037,0.064421766,0.655758
1.22,N,0.7689407,0.046269845,0.02811076,0.3893357
1.23,N,0.86971396,0.030010883,0.024194121,0.32750866
1.24,p,0.9233916,0.026870491,0.026711678,0.26921836
1.25,p,0.96068877,0.031926278,0.029550536,0.17138614
1.26,p,0.98763853,0.033569198,0.018374221,0.066825226
1.27,p,0.9959395,0.0229976,0.011066788,0.018559389
1.28,p,0.9968202,0.023479369,0.0072034765,0.013005742
1.29,p,0.99224305,0.026201606,0.008313132,0.04969482
1.3,p,0.9055901,0.015499309,0.012913136,0.5202693
1.31,o,0.4326406,0.00869257,0.04594733,0.9587608
1.32,o,0.07976076,0.012350867,0.15726618,0.9925036
1.33,o,0.008064379,0.046693154,0.25600272,0.9909245
1.34,o,0.0023744565,0.14904483,0.6017147,0.9623068
1.35,o,0.0025669753,0.33214045,0.7959162,0.8231229
1.36,D,0.0067359554,0.6408656,0.3988333,0.32315364
1.37,D,0.014631336,0.84396565,0.060115032,0.051763766
1.3800000000000001,D,0.018928243,0.9033885,0.01878505,0.031157704
1.3900000000000001,d,0.031899944,0.9253986,0.022896426,0.084507525
1.4000000000000001,d,0.02295642,0.85887927,0.06573559,0.49536815
1.41,e,0.008191725,0.59254336,0.12297613,0.83984995
1.42,e,0.0076061506,0.4840543,0.14900921,0.90369505
1.43,e,0.00787582,0.45913148,0.13024294,0.9273171
1.44,e,0.0058149877,0.31262296,0.11380888,0.9516688
1.45,e,0.003636396,0.14764312,0.07968097,0.9660032
1.46,e,0.006052945,0.04739611,0.050282747,0.9417806
1.47,e,0.020926913,0.03589319,0.033761542,0.8730908
1.48,f,0.03896084,0.0354993,0.030709838,0.7593582
1.49,f,0.06960772,0.0326483,0.032124702,0.5248831
1.5,f,0.10047703,0.04154805,0.02540102,0.2549455
1.51,f,0.09341044,0.041422393,0.019114746,0.086321436
1.52,f,0.08967373,0.047032706,0.014566928,0.037610203
1.53,f,0.07320759,0.06887428,0.02494727,0.05010876
1.54,f,0.05617839,0.0923558,0.07387054,0.15146689
1.55,f,0.06569578,0.06294305,0.15505186,0.47149262
1.56,u,0.041433003,0.040389493,0.16788343,0.8843422
1.57,u,0.023015492,0.07411706,0.20425059,0.9415101
1.58,u,0.037753027,0.26275912,0.15275629,0.89330196
1.59,u,0.3208295,0.488963,0.04920534,0.7146352
1.6,u,0.05537809,0.47134748,0.033857983,0.15555815
1.61,B,0.047451314,0.634785,0.018314457,0.07376506
1.62,B,0.06339757,0.8123838,0.014645146,0.03511043
1.6300000000000001,B,0.056629244,0.83724374,0.013380682,0.026023883
1.6400000000000001,B,0.043642465,0.78421706,0.05830279,0.058276404
1.6500000000000001,B,0.040588956,0.71096885,0.37890956,0.2410124
1.6600000000000001,B,0.043481465,0.56318295,0.7854176,0.4768778
1.67,a,0.038790766,0.3705478,0.9403111,0.82604337
1.68,a,0.019920504,0.23221216,0.97276735,0.9646688
1.69,a,0.0055818097,0.15519348,0.9773757,0.9827563
1.7,a,0.002407554,0.095698595,0.9773814,0.97953403
1.71,a,0.0018962105,0.098068945,0.96615624,0.9360203
1.72,a,0.001587816,0.19767414,0.93005615,0.7595148
1.73,a,0.004626037,0.60173106,0.8055637,0.4122035
1.74,D,0.010430114,0.88757837,0.44942498,0.19023937
1.75,D,0.02686407,0.95665294,0.13745515,0.12275669
