time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,p,0.8617344,0.24837805,0.095703244,0.1381691
0.01,p,0.8594284,0.30611992,0.08036138,0.11911912
0.02,p,0.83244854,0.41373828,0.113798015,0.16794023
0.03,rr,0.77358466,0.5279076,0.16081251,0.22515328
0.04,rr,0.6194689,0.51959217,0.23773672,0.2994473
0.05,rr,0.44347683,0.48441118,0.36626393,0.37038663
0.06,rr,0.33330286,0.43056828,0.47545543,0.47427666
0.07,rr,0.348316,0.41588494,0.45474315,0.5628342
0.08,e,0.39812136,0.43454477,0.4340309,0.6028933
0.09,e,0.44394878,0.42972142,0.38641414,0.6040628
0.1,e,0.5484327,0.4310431,0.3430286,0.54327714
0.11,G,0.6973551,0.46964356,0.27977622,0.43038806
0.12,G,0.7915336,0.5587048,0.21332875,0.29286066
0.13,G,0.861535,0.56430924,0.15956585,0.19919808
0.14,G,0.88189536,0.5879327,0.14227587,0.17806742
0.15,G,0.8848607,0.61744946,0.16423042,0.19610034
0.16,G,0.810861,0.61419874,0.2584404,0.31403926
0.17,G,0.6032787,0.54868203,0.3774305,0.43817297
0.18,u,0.42206547,0.48419648,0.3734298,0.54172784
0.19,u,0.3637322,0.42231357,0.3429169,0.50844043
0.2,m,0.41487756,0.40743524,0.4637579,0.45979846
0.21,m,0.4512599,0.33198917,0.6383133,0.4932612
0.22,m,0.43815425,0.25276902,0.7477908,0.5062629
0.23,a,0.34938544,0.20932718,0.82863885,0.61412954
0.24,a,0.2657949,0.18828067,0.87635773,0.70934236
0.25,<p:>,0.21349823,0.15593256,0.8931534,0.7195094
0.26,<p:>,0.14199361,0.11206927,0.85992086,0.5783617
0.27,<p:>,0.10367696,0.06608429,0.7568533,0.4140563
0.28,<p:>,0.080532774,0.033895012,0.5648121,0.2651922
0.29,<p:>,0.06677032,0.018634161,0.31322932,0.13332523
0.3,<p:>,0.061234377,0.013408043,0.18270001,0.07727587
0.31,<p:>,0.055835824,0.009845277,0.10190141,0.049373172
0.32,<p:>,0.049978524,0.008350343,0.05886145,0.029894298
0.33,<p:>,0.050799623,0.008711858,0.034935128,0.01923279
0.34,<p:>,0.05957766,0.01164376,0.034701373,0.019724539
0.35000000000000003,<p:>,0.077832006,0.014915266,0.03338974,0.0193765
0.36,<p:>,0.105775915,0.020973606,0.036129512,0.017862335
0.37,<p:>,0.17375053,0.029756367,0.041382723,0.018072113
0.38,<p:>,0.2646729,0.063736185,0.0637437,0.026103962
0.39,<p:>,0.24538703,0.09042015,0.09219804,0.040403005
0.4,<p:>,0.015860802,0.0039604,0.03017859,0.025029486
0.41000000000000003,<p:>,0.010071348,0.0018687238,0.007133246,0.0045078862
0.42,<p:>,0.0066972594,0.0012126005,0.0034275025,0.0019753797
0.43,<p:>,0.0049695564,0.000983239,0.0022500823,0.0013013423
0.44,<p:>,0.0037689821,0.0007469462,0.0015361009,0.00087864534
0.45,<p:>,0.00318301,0.000672094,0.0013186649,0.00077138405
0.46,<p:>,0.0027794496,0.0005933908,0.0012039514,0.0006732976
0.47000000000000003,<p:>,0.0027513118,0.00066089636,0.001204637,0.00068575674
0.48,<p:>,0.0026065356,0.00063953665,0.0009156767,0.0005725122
0.49,<p:>,0.002502818,0.0005869419,0.0007233064,0.00050622004
0.5,<p:>,0.0023663514,0.0005246813,0.0006219613,0.0004509776
0.51,<p:>,0.0023374388,0.00052591984,0.00064840313,0.0004597946
0.52,<p:>,0.002244968,0.00046387865,0.00061036105,0.00039722997
0.53,<p:>,0.0025453905,0.0005654584,0.00067192846,0.000438947
0.54,<p:>,0.0026659209,0.0005427064,0.0006643903,0.00040676325
