time,phoneme,vocalic,consonantal,back,anterior,open,close,nasal,stop,target_vowels,target_plosives,non_target_plosives,continuant,lateral,flap,trill,voice,strident,labial,dental,velar,pause
0.0,<p:>,0.031478804,0.11814205,0.0427757,0.015172146,0.0402155,0.011973148,0.017334841,0.13990378,0.030292436,0.22880176,0.015635572,0.114948235,0.035074968,0.17779195,0.0002999081,0.023086179,0.12607823,0.113960624,0.14085737,0.17405662,0.9626339
0.01,<p:>,0.009853949,0.069644675,0.012970631,0.00644354,0.011590592,0.004723442,0.0056103687,0.09400537,0.011573603,0.16250297,0.00885045,0.069563456,0.011098751,0.07753535,0.00015552553,0.0072027096,0.078135006,0.08169291,0.08374084,0.120919116,0.9820734
0.02,<p:>,0.006706159,0.062410314,0.007962041,0.005817737,0.007567487,0.0041907537,0.0042448817,0.094177015,0.008539106,0.16669203,0.010061354,0.05688022,0.008152669,0.04825685,0.00021470405,0.0049641104,0.061646838,0.08385277,0.07999272,0.118549846,0.9849989
0.03,<p:>,0.008620733,0.0855493,0.008941681,0.007377822,0.010103488,0.004991009,0.0043231933,0.14906627,0.00949631,0.25919807,0.013842056,0.06743155,0.008367466,0.037727945,0.0004083445,0.005940672,0.066444345,0.13610636,0.12451892,0.15316774,0.97958976
0.04,<p:>,0.012304385,0.15236737,0.011952909,0.009326657,0.01637439,0.005287384,0.004622389,0.3161877,0.013674284,0.4462361,0.016962236,0.094667695,0.009104581,0.036910336,0.0009765825,0.008192602,0.085398294,0.26410738,0.24891762,0.23221475,0.96277106
0.05,<p:>,0.017670907,0.3056642,0.018964803,0.011636683,0.026198935,0.005099538,0.005397195,0.6235921,0.028183322,0.7356832,0.031276878,0.119287215,0.0109087415,0.038654074,0.0029633234,0.011527032,0.10281044,0.49573612,0.50925183,0.34367904,0.92208636
0.06,p,0.01850067,0.5791307,0.025033515,0.0076506585,0.03212294,0.0037405607,0.0037643872,0.890727,0.04398923,0.9227614,0.063258775,0.1678785,0.011912013,0.035850175,0.009616589,0.013062089,0.14596806,0.73049086,0.7801703,0.43754092,0.7950915
0.07,p,0.040931676,0.8563746,0.07193879,0.010865269,0.08664408,0.0040630405,0.0030446448,0.969053,0.15236565,0.9765885,0.09793068,0.12363457,0.02193291,0.06955239,0.049529985,0.025160661,0.1025883,0.8350336,0.8894679,0.47304654,0.43165138
0.08,p,0.08776252,0.9116538,0.14250723,0.021496851,0.17060041,0.010885044,0.005498229,0.9761758,0.33405858,0.9829383,0.078044094,0.08686295,0.025729995,0.17077032,0.06677505,0.05777113,0.05990842,0.8424307,0.8920064,0.40738645,0.08464506
0.09,p,0.27196515,0.8332934,0.43129942,0.023927487,0.4130744,0.03435261,0.009157836,0.9582682,0.5850042,0.9685777,0.070783205,0.07738054,0.023503125,0.17633812,0.033881117,0.15971471,0.05199554,0.82893205,0.8121723,0.37641203,0.020438135
0.1,p,0.6513397,0.54290426,0.75280297,0.017066903,0.6972093,0.13450035,0.008707342,0.8550991,0.81918055,0.8867546,0.075932376,0.09388004,0.018127926,0.16757299,0.015209512,0.40234554,0.09401619,0.84314245,0.5641234,0.3103956,0.015751468
0.11,a,0.84099483,0.21248528,0.9173572,0.020574076,0.87916976,0.17591417,0.0085982,0.57161236,0.9427659,0.6801987,0.07985198,0.094524905,0.012049759,0.14804219,0.00995427,0.7352338,0.097469896,0.70820415,0.36700776,0.115220286,0.01618346
0.12,a,0.94232404,0.07376897,0.9726914,0.024671108,0.9540043,0.14661258,0.007947125,0.28829956,0.977333,0.3633325,0.07618814,0.07020689,0.00967553,0.14302994,0.008215767,0.9184221,0.048749473,0.4175435,0.1897747,0.03882089,0.0072043873
0.13,a,0.964961,0.042362917,0.98324054,0.029548576,0.9709686,0.09106487,0.009715264,0.14566655,0.9860903,0.1606769,0.11356018,0.06960795,0.01220489,0.15390131,0.009961387,0.9609313,0.04263805,0.18029621,0.16711514,0.029159341,0.0036631029
0.14,a,0.96764356,0.040339142,0.9850734,0.029674731,0.9783642,0.042024124,0.012263227,0.1170278,0.9881541,0.053748634,0.20038068,0.081489556,0.018130273,0.16740116,0.0131427515,0.9794751,0.038373046,0.08197244,0.1941995,0.022872029,0.001719468
0.15,a,0.9611993,0.0487067,0.9829434,0.029959297,0.97803986,0.03466732,0.013018069,0.1396247,0.98407584,0.012057549,0.29053962,0.10901376,0.028622387,0.18945624,0.020805404,0.9806092,0.036054913,0.062886365,0.25037757,0.012175531,0.0006413922
0.16,a,0.94933474,0.066814914,0.97666466,0.04183061,0.96970296,0.03979331,0.015899047,0.12594472,0.97970116,0.0074040196,0.28553945,0.12071168,0.068262994,0.2595769,0.027795361,0.96928024,0.05072823,0.048020642,0.22541797,0.011268847,0.000405368
0.17,a,0.9152087,0.115774505,0.96197236,0.054557677,0.9478925,0.05764211,0.031731028,0.11130076,0.96764344,0.011652861,0.26159087,0.15352894,0.17257668,0.3611999,0.025916073,0.9351284,0.10559479,0.054878857,0.18052584,0.023206225,0.001134831
0.18,a,0.8209295,0.2788758,0.9104718,0.124747805,0.8671722,0.09280719,0.047921218,0.119049534,0.9414637,0.027136834,0.23856671,0.23434328,0.39978164,0.54913086,0.025017424,0.8181454,0.26040703,0.056445476,0.1726969,0.04993143,0.006875268
0.19,a,0.66609246,0.4758491,0.80633235,0.22990023,0.7072099,0.10653147,0.0965834,0.12831746,0.8815179,0.05075227,0.23031211,0.38530168,0.5942677,0.66614896,0.051687576,0.6589615,0.4451944,0.08618227,0.17574343,0.07684267,0.013904988
0.2,l,0.4203395,0.6677149,0.608695,0.24440089,0.571138,0.113020115,0.21405901,0.16567552,0.7595642,0.072677,0.23546247,0.5621215,0.6615539,0.7525221,0.08165449,0.49004146,0.5943394,0.13653915,0.19388793,0.095685504,0.0073993923
0.21,l,0.2613022,0.80145186,0.40448058,0.23192221,0.45793903,0.109585844,0.2769568,0.2539009,0.5456818,0.13655286,0.27697626,0.71715933,0.6423218,0.74829096,0.17447609,0.3698893,0.72836566,0.20004216,0.26104888,0.0948709,0.004758952
0.22,f,0.11263977,0.93429095,0.17236438,0.16063009,0.15128316,0.08754148,0.22339992,0.4532186,0.1851938,0.31707162,0.39313492,0.83641845,0.7060872,0.65142465,0.4069127,0.3166887,0.8364428,0.4822781,0.40574002,0.10979764,0.010068648
0.23,f,0.050246507,0.9777255,0.07702077,0.06924561,0.07301634,0.057695802,0.23884481,0.634241,0.08440079,0.4076882,0.5398027,0.85342795,0.81986636,0.5224095,0.48361975,0.31000522,0.8161184,0.6503099,0.4251987,0.17592186,0.011301471
0.24,f,0.07996078,0.9548667,0.21960226,0.03633051,0.15791026,0.06250774,0.2827153,0.64495224,0.26231802,0.4983048,0.62980336,0.7964131,0.8460298,0.4030196,0.42895383,0.42356274,0.75494844,0.6886618,0.4446574,0.17904949,0.0228153
0.25,f,0.24698,0.8471563,0.5018555,0.016981903,0.45832744,0.03428083,0.37681195,0.5086718,0.70944685,0.2956768,0.6367381,0.6785155,0.7923054,0.2881514,0.32146823,0.65378535,0.527369,0.80508786,0.1472625,0.08650093,0.019482099
0.26,f,0.7199178,0.3908744,0.8491878,0.007411295,0.84612805,0.013619433,0.22648285,0.29844743,0.9545429,0.13930525,0.45638815,0.45559314,0.5597914,0.14061213,0.0438289,0.9125639,0.12781689,0.63896185,0.020679755,0.02643074,0.002276145
0.27,a,0.91431576,0.120802246,0.96944404,0.003701053,0.94750446,0.0100311665,0.088583745,0.17033066,0.9875651,0.058274962,0.31529617,0.19267242,0.09070478,0.051720016,0.0060533695,0.97503954,0.028135596,0.45472464,0.007599174,0.009342636,0.00042525673
0.28,a,0.9819347,0.024297237,0.9944246,0.0046484335,0.9891303,0.007849937,0.027444005,0.053198956,0.9966255,0.013889207,0.107470825,0.04206086,0.011865563,0.026616963,0.001849225,0.9947652,0.007997688,0.18030809,0.0044890027,0.005526473,0.0001254145
0.29,a,0.99453515,0.008604412,0.997899,0.006245809,0.99626416,0.004635145,0.008336877,0.02023137,0.9984925,0.004537077,0.054594465,0.01655004,0.0032116892,0.022333773,0.0008593606,0.9978934,0.0034996204,0.05048309,0.0047055827,0.003820834,0.00010189173
0.3,a,0.9973202,0.0038914827,0.9988868,0.009019222,0.9984695,0.0026195303,0.0047490634,0.010188578,0.9991455,0.0014763357,0.04296358,0.007824236,0.0016940726,0.022432122,0.00056594046,0.9988171,0.0014644495,0.014617882,0.005402643,0.00285695,0.00010352652
0.31,a,0.9969976,0.003975112,0.99874437,0.010731548,0.99854547,0.0018286514,0.006137438,0.008315633,0.9990277,0.0009362249,0.043770853,0.007243245,0.0022374387,0.034711037,0.00077374396,0.99860805,0.0014402617,0.0075807213,0.010004744,0.002685674,0.00020132298
0.32,a,0.99286467,0.008616689,0.99712694,0.018629601,0.9963317,0.0027882128,0.007931628,0.011931999,0.99834466,0.001500212,0.049957164,0.010049284,0.009782057,0.07296855,0.001446199,0.9959503,0.0022127186,0.0063458397,0.020881359,0.0062947683,0.0002632586
0.33,a,0.9819922,0.023236707,0.99182487,0.03772103,0.9885878,0.006216148,0.01615214,0.022409813,0.9957054,0.0031983927,0.06170874,0.019652149,0.055607863,0.1321943,0.0033042887,0.9871595,0.008137285,0.008454473,0.037469633,0.02130496,0.0002409705
0.34,a,0.9604635,0.06146285,0.97968036,0.055099722,0.9731132,0.008302526,0.027973847,0.03557048,0.9929066,0.008662912,0.08499278,0.03481031,0.19287965,0.26094013,0.00997784,0.95950735,0.016556997,0.011077846,0.041003563,0.07114471,0.00016713783
0.35000000000000003,a,0.88983095,0.18532808,0.9346195,0.074216954,0.9215912,0.010890656,0.14831516,0.098281816,0.9786093,0.044738304,0.21055982,0.08779294,0.5004942,0.46321574,0.044448804,0.89044523,0.037721828,0.046115503,0.09026636,0.2271423,0.00035895576
0.36,a,0.6999398,0.43086883,0.8334432,0.094521224,0.80482894,0.01807229,0.3855585,0.3295912,0.9230409,0.25568485,0.4106644,0.21992531,0.6563735,0.702057,0.1948468,0.6938234,0.07714088,0.15938109,0.25507995,0.60093796,0.0025473866
0.37,G,0.41429177,0.7053817,0.56941074,0.14421558,0.5292635,0.031780966,0.4287883,0.7204158,0.75228024,0.678838,0.5472435,0.32090327,0.67305726,0.78180116,0.31495813,0.49419257,0.1284617,0.28855962,0.57102317,0.84328544,0.010865444
0.38,G,0.267772,0.845983,0.3928744,0.14458428,0.34798998,0.026988352,0.47201815,0.8609035,0.53656846,0.90519637,0.5066525,0.29673645,0.54462785,0.73235327,0.45901382,0.2899889,0.09422124,0.25032204,0.78914094,0.90581185,0.0069684624
0.39,k,0.18103842,0.9023189,0.26774392,0.2039092,0.23912291,0.038256407,0.30487192,0.90620565,0.37049934,0.94327307,0.52730316,0.37925583,0.40698004,0.71121275,0.2504877,0.20360631,0.11217523,0.38109374,0.8452169,0.8893048,0.004692206
0.4,k,0.05965123,0.95457935,0.07573297,0.109355144,0.12031228,0.027758395,0.014481353,0.9619256,0.11643342,0.974394,0.12196464,0.4803755,0.06276675,0.18734346,0.041961562,0.034024175,0.46615025,0.044726375,0.56362605,0.97486407,0.035845112
0.41000000000000003,k,0.045184333,0.9707989,0.03123751,0.1136297,0.1061358,0.019023828,0.0027422993,0.9781107,0.076630965,0.9843503,0.15210927,0.38936237,0.03951746,0.21329771,0.044167124,0.027820379,0.25552845,0.062314276,0.6965701,0.9836651,0.006717346
0.42,k,0.17580435,0.92846525,0.0510853,0.3397568,0.2655247,0.053738985,0.0032610404,0.96463454,0.13834177,0.9727845,0.1745955,0.28717202,0.06808612,0.30140322,0.03167105,0.08019593,0.14905214,0.053717323,0.696112,0.98009765,0.0021599776
0.43,k,0.61735034,0.6068695,0.1514251,0.7348688,0.7341068,0.08082025,0.008447097,0.833802,0.35667136,0.8755241,0.17511399,0.24949677,0.07802163,0.37358502,0.02882105,0.41214982,0.10388633,0.051548008,0.50845766,0.91738206,0.0008658811
